tablespoon	measuring
finger	counting
ribbon	tying
tickling	teasing
machine	phone
dreaming	visualizing
amphitheatre	performances
drum	hitting
ruler	measuring
doll	collecting
drinking	hydration
sausage	food
razor	cutting
accommodation	stay
killing	murderers
grenade	killing
solicitor	litigation
folder	storage
violence	terrorism
movie	enjoying
billboard	advertisment
climbing	fun
altar	pray
club	dance
computers	dorks
singing	enjoyment
wound	healing
pool	relax
chapel	meditating
pet	companionship
herringbone	jab
piece	assemble
dustbin	trash
wine	relaxing
rug	cover
book	reports
diner	eating
queen	chess
remembering	thinking
cinema	entertainment
needles	sewing
reading	enlightenment
book	uplift
makeup	wearer
key	lock
lion	safari
note	remembering
machine	vote
baseball	catching
bullet	projectile
deli	eating
keyboard	coding
pouch	cover
prince	england
bell	calling
boats	fishing
diamond	drill
linen	drying
pulpit	preach
foot	measuring
relaxing	stressed
ribbon	fashion
stool	milking
star	guidance
doorway	entry
knife	butchering
garbage	recycling
coffin	coffin
mitt	catching
classroom	participating
ocean	fish
paper	notes
scissors	cut
stamp	postage
land	hunting
statue	symbolize
machinery	function
chalk	mark
bomb	destruction
couch	sex
wheat	flour
dancing	people
space	item
arrow	pierce
woods	hiking
canoe	boating
silicone	lubricants
population	consumption
college	learning
vessel	shipping
stylus	pointing
listening	helping
turnpike	turning
blowdryer	drying
bedroom	privacy
carpeting	comfort
niece	babysitting
cheque	bills
lying	liars
accommodations	sleeping
living	eating
courtyard	sit
linen	material
people	talk
dreaming	yukon
performing	acting
shelf	books
chapel	christians
note	rhythm
nightclub	parties
mill	crush
cake	serving
hiking	campers
procreating	pleasure
coast	beaches
engine	power
flask	liquids
drill	hole
churchyard	graves
instrument	music
pretending	actors
bar	protect
drug	taking
shore	swim
thanking	courtesy
bathing	pleasure
fruit	garnish
spa	recreating
suicide	death
ocean	swimming
thread	sewing
seat	hit
playing	gamers
skyscraper	elevators
fountain	decoration
hotel	rest
light	seeing
fork	eat
file	shape
linen	washing
relaxing	break
canal	irrigation
statement	exposition
wetsuit	scuba
entryway	enter
ink	coloring
cord	binding
legs	running
teacher	answers
house	sell
brain	thinking
heart	breaking
poem	class
liquids	drinking
farecard	pay
chapel	worshipping
roof	covering
wall	wail
jogging	toning
marble	shoot
mezzanine	balcony
helmets	protection
head	hat
wheat	cake
projectile	shoot
airbag	safety
flirting	reproduction
board	building
doormat	decoration
puzzle	solving
cloth	dusting
penny	collecting
robot	nyantai
name	identifying
wing	flapping
bbq	cooking
leaf	shade
reproducing	distributing
ambulance	rush
animal	pet
candle	bruning
eye	seing
altar	church
string	guitar
viola	playing
foot	walk
stool	working
cottage	living
ball	bearings
church	prayer
punching	hurting
cafe	dinner
books	entertain
senior	memories
memory	function
mezzanine	intermission
breathing	survive
bowl	soup
kite	entertainment
level	leveling
classroom	experimenting
grid	plot
key	open
earth	living
hat	shade
museum	education
wings	glide
sofabed	sleep
icebox	drinks
machine	help
nail	scratching
plane	fly
swallowing	drinking
barroom	serve
brush	paint
tv	entertainment
farting	laughs
tub	baths
excavation	mining
gun	shot
chapel	meditation
checkbook	paying
coil	wire
trash	recycle
drinking	pleasure
pond	swimming
car	mobility
hair	braiding
bell	ringing
leg	motility
bus	traveling
discothque	relax
playing	children
pen	drawing
mast	sail
tearoom	conversation
child	comfort
pencil	doodling
binder	papers
shareholder	financing
apartment	enter
balloon	popping
garage	cars
nylon	sewing
tablespoon	stirring
tile	wall
body	move
projectile	injuring
lips	flapping
lane	driving
eating	hunger
learning	improving
robot	companionship
killing	harm
party	celebration
hat	stylish
voyage	travel
lake	boating
doctor	heal
beanbag	juggling
guns	kill
literature	studying
sofabed	sleeping
procreating	sex
mind	thinking
vinyl	records
mansion	governor
taxiway	airplane
walking	health
lantern	light
teaspoon	stiring
hair	cutting
river	boating
finger	soothing
attic	trunks
buying	comsumption
house	investment
armoire	clother
glasses	see
literature	teacher
lying	cheating
pad	paper
passage	description
people	population
skating	pleasure
tooth	gripping
book	instruction
passion	romance
reproducing	cloning
brook	fishing
tool	altering
blade	cut
living	enjoying
yoyo	enjoyment
candle	ambiance
pool	diving
tree	beauty
cane	hold
farmhouse	living
piano	entertainment
tool	adjusting
leather	whips
thinking	dogs
wings	fly
stapler	stapling
killing	fun
sand	sandboxes
walking	fun
pistol	killing
water	hydration
dish	serve
entertaining	pleasure
leather	shoes
seat	waiting
dildo	fucking
council	talking
traveling	business
tile	build
show	education
robot	help
guitar	teach
muscle	walking
defibrilator	resuscitation
river	recreation
ice	drink
wheat	harvesting
tile	covering
den	animals
climbing	exercising
saloon	socializing
nuns	poverty
puzzle	play
building	shelter
student	classroom
sign	telling
machine	grind
poison	kill
climbing	enjoyment
ball	throwing
role	act
theatre	plays
duvet	sleeping
denim	jeans
studying	understanding
arena	competitions
turnstile	admissions
chopsticks	eat
cave	archeology
diving	competition
bread	pudding
dying	mortals
cleaning	hygiene
saloon	drink
study	reading
water	drinking
lion	entertain
silicone	lubricate
bed	reading
computer	compute
corn	eating
feather	decoration
beer	drinking
leader	group
mat	protect
performing	accomplishing
people	humanity
handle	manipulate
love	giving
society	survival
punishing	vindictive
society	cooperation
skiing	winter
minister	facilitate
highway	cars
desk	drafting
auditorium	performances
candle	heat
lips	smoking
clock	decoration
fiddling	fun
sleeping	recuperating
contemplating	introspection
island	vacations
tap	signalling
tapestry	decorate
projectile	killing
volume	research
wine	selling
sky	breathing
neck	kissing
wings	soaring
refill	softdrinks
home	family
clay	sculpting
friend	loving
battle	fighting
university	teaching
mechanism	perform
library	research
village	sleeping
killing	animals
sofabed	comfort
pens	wrtie
population	study
thinking	being
tooth	grinding
killing	war
classroom	classes
verb	discription
party	relaxing
mechanism	function
heart	persistence
viola	enjoyment
cigarette	smoke
killing	contract
chapel	prayer
grid	computing
cloth	bedding
breathing	survival
finger	warn
bass	eat
basketball	throwing
lake	diving
mouth	eating
seat	kick
tickling	fun
rhetoric	persuasion
shirt	wearing
fencing	competition
home	dwelling
razor	shave
relaxing	resting
pickle	garnish
auditorium	lectures
blade	cutting
gas	exploding
machine	glaze
shed	storage
dancing	ballerinas
tickling	humor
blowtorch	welding
book	learn
makeup	enhance
bowl	cereal
spade	digging
performing	attention
island	relax
pans	cooking
university	study
water	cleaning
memorising	recital
mine	explode
coal	energy
storm	thundering
album	play
curtain	obstruct
cake	celebrate
war	intimidate
success	feeling
silver	jewelry
harmonica	humming
cloud	snow
soundstage	recording
ocean	relaxing
toilet	pooping
food	eat
hat	decoration
rifle	killing
penny	luck
drill	whistle
ring	engage
garden	relax
needle	repair
linen	tablecloth
puzzle	entertaintment
office	working
backdrop	photography
sign	identification
ball	kicking
wire	fasten
garden	greenthumb
tooth	fillings
system	efficiency
island	isolation
neckwear	adornment
thanking	politeness
duplex	families
soap	washing
edinburgh	tourism
wood	building
pretending	acting
linoleum	bathrooms
thinking	synchronizing
people	socializing
people	play
wheel	steering
bicycle	traveling
discothque	fun
pot	stirring
pens	writing
literature	professor
refuse	landfills
staircase	ascending
computer	computer
punishing	teaching
car	fun
bedroom	sleeping
singing	lamenting
cord	tie
kite	flying
secretary	help
reception	eating
fiddle	plucking
bomb	defusing
plain	farming
neighbor	help
trix	kids
forgiving	friendship
freezer	freeze
letter	greet
horse	ride
thinking	projects
dishes	cook
handgun	murder
pool	play
ice	cold
socialising	friends
moisturizer	c
cooking	eating
mug	hold
hammer	whack
pool	gamble
punishing	vengance
bomb	war
brain	think
house	shelter
dollar	shopping
loli	pornography
voice	singing
john	shitting
telephone	communicate
ice	cooling
wrestling	enjoyment
candle	celebrations
freeway	speeding
knife	digging
show	enjoyment
paint	painting
running	pleasure
tooth	crushing
sun	energy
theatre	war
dragon	killing
highway	traveling
lying	deception
board	bilding
machine	print
show	audience
spirit	drinking
brother	pestering
harp	playing
motel	rest
refill	liqour
motorway	driving
puzzle	entertainment
metal	make
number	orginization
brook	fish
restaurant	relaxing
wing	bug
hill	climbing
river	transportation
stall	deficate
hair	brushing
pot	storage
soldier	fight
friend	forgiving
canvas	paint
courthouse	judges
museum	research
desk	writing
clarinet	selling
election	choosing
lies	confuse
pill	medication
mouth	frowning
turnstile	counting
parkway	driving
remembering	relating
castle	kings
stool	resting
surfing	fun
sword	cutting
body	walking
lying	misguiding
fortune	investing
oven	baking
letter	communication
performing	singers
animal	food
school	shelter
condom	contraception
bed	sex
dreaming	enlightenment
lying	resting
silk	slips
bullet	killing
egg	scrambling
church	reminded
system	retrieve
leg	walking
linen	comfort
disk	storage
rag	cleaning
membrane	filtration
baritone	singing
moon	romance
sound	communicate
projectile	throwing
jewelry	wearing
dancing	socializing
smoking	losers
faucet	water
knife	engraving
dustbin	rubbish
kissing	lovers
town	living
chair	seat
cannonball	shoot
mouth	kiss
color	attraction
landmark	orientation
nose	piercing
mandolin	music
horse	horsemeat
art	enjoyment
cabriolet	drive
monument	commemorating
hair	fur
album	sell
sex	procreation
painting	improving
industry	manufacturing
paranoids	litigation
gymnasium	exercise
computer	work
mandolin	tuning
killing	duty
monument	recognition
pouch	diamonds
knife	separating
stairs	sitting
bread	sandwiches
cannon	war
computer	solving
fruit	paring
feet	walk
grab	use
aisle	walking
note	melody
performing	entertainment
president	leadership
stove	cooking
bag	transport
pond	fish
thinking	entertainment
patio	cookouts
pillow	sleeping
bike	transport
bottle	hold
wrestling	sumo
temple	worshipping
book	encouragement
guitar	music
analysing	understanding
rod	strength
ocean	sail
war	control
bed	resting
playing	excercise
vinyl	covering
dancing	entertainment
channel	view
copulating	reproduction
xanax	anxiety
reproducing	adding
tile	art
lock	protection
yoyo	sleeping
knife	peeling
traveling	relaxation
passageway	traversing
banana	eating
bell	ring
crutch	person
tv	watching
card	credit
cannonball	warfare
store	shopping
prison	punishment
working	creating
alto	sing
level	building
music	relax
pail	defecation
clothes	expression
counter	eating
satchel	packaging
thanking	formality
computers	entertain
hat	waving
card	games
harmonica	entertainment
dancing	professionals
pencil	scribbling
bay	swimming
textile	carpets
hall	functions
helicopter	travel
bathing	cleanliness
surprising	birthday
dog	breeding
bill	communicating
memorising	remenbering
hiking	adventure
movie	viewing
quartz	gardens
seatbelt	safety
salt	food
bassoon	music
pool	drinking
queen	country
disease	killing
expressway	driving
cash	bribe
can	kicking
bass	playing
drinking	taste
ticket	speeding
cat	companionship
bay	fishing
child	loving
pub	socializing
razor	shaving
resting	dreaming
dog	companionship
books	educate
tweed	trousers
knot	fastener
books	reading
party	reunions
eye	crying
grill	barbecue
mill	crushing
staples	paper
cover	sealing
finger	goosing
bungalow	live
witch	burning
pub	celebrating
pew	prey
crossroads	intersection
court	justice
cake	birthday
lady	gentleman
wings	eating
sleeping	resting
bass	nourishment
spoon	eating
stairwell	climbing
instrument	tool
knife	boning
surfing	kids
knife	scuffing
bathroom	pooping
needle	sewing
nylon	stockings
brake	stop
memorising	remembering
alcohol	intoxication
gold	cpu
deoderant	wearing
basket	include
pike	pulling
university	cooperation
hole	black
emotion	feeling
stockmen	riding
room	furniture
driveway	pickup
bidet	amusement
statue	honour
lying	tricking
apparatus	work
thinking	adapting
soldier	combat
copulating	sex
heart	pumping
file	file
memorising	plays
menu	customer
college	teaching
language	communication
mayor	council
government	oppression
restaurant	guests
observation	psychoanalyze
cloth	clothing
cemetery	remembering
knife	scraping
knife	slicing
meat	eating
cord	tying
performing	actresses
baths	cleaning
oxycontin	pain
greeting	welcome
machine	fly
cake	wedding
stage	performances
bar	drinking
punching	recreation
lip	pleasure
blanketing	warmth
wing	aerodynamics
chocolate	eating
story	enjoying
anime	entertainment
parlor	meeting
knife	shaving
phone	communicating
scenery	watch
fruit	decoration
home	living
playing	recreation
bow	tie
seat	reclining
bookshelf	bookends
filter	purify
revolver	protection
singing	celebrating
snowflake	snowballs
turnpike	driving
wrestling	fun
stiletto	kill
procreating	reproducing
wing	plane
chest	storage
cream	skin
fabric	clothing
house	decorating
book	entertainment
leader	following
chapel	weddings
captain	sailing
voice	shouting
scale	measure
mine	destruction
science	research
brother	loving
skiing	sport
cat	petting
lying	manipulation
church	praying
skiing	exercise
statement	communicating
refuse	burning
satchel	things
spirit	celebrate
bathing	cleansing
tripod	stability
urinating	relief
nose	breathe
bin	rubbish
bookshop	browse
thinking	geussing
altar	sacrifices
gin	drinking
dancing	celebration
line	fish
bagpipes	music
success	help
wall	privacy
stereo	playing
bath	washing
neighbor	avoiding
valley	rivers
indexes	reference
cover	protection
overflow	floods
perfume	perfume
spite	anger
shoe	fashion
boat	travelling
books	teach
thinking	fun
game	participating
celebrating	partying
machine	manufacture
pistol	fire
room	residing
marker	writing
sign	advertising
sofa	comfort
grooming	chimpanzees
hair	combing
armor	protection
broom	sweeping
stylus	palms
shoe	wearing
dynamite	excvate
container	organization
gas	light
organ	play
pistol	practise
stepladder	climb
pain	hurt
person	loving
kissing	soothing
knife	stab
drill	cut
material	build
stove	cook
theatre	audiences
finger	smear
world	society
sound	communicating
spoon	eat
highway	trucks
can	storage
science	astronomy
system	organization
weapon	kill
pan	cooking
attic	boxes
bath	fill
bomb	bombard
mat	sleep
column	decoration
clock	timing
story	telling
apple	computing
ranch	cattle
stick	beating
fiddling	television
classroom	education
brother	friendship
knife	scoring
sleeping	regeneration
board	build
cargo	smuggling
statue	memorial
pouch	holding
breathing	living
sky	moon
traveling	fun
ink	tatooing
money	saving
ocean	kayaking
surfing	enjoyment
line	definition
literature	read
pool	viewing
lid	covering
rug	warmth
house	dolls
cloud	oscure
computer	play
rule	understanding
couch	relaxing
heart	love
hole	water
pipes	smoke
coast	pirating
tail	way
boat	sailing
playing	enjoyment
keyboard	type
thinking	sorting
learning	money
temple	praying
bean	nutrition
lake	recreation
crutch	help
awaking	protection
bungalow	sleeping
entertaining	networking
armchair	reading
muscle	move
punishing	deterrence
beanbag	tossing
shadow	shade
mat	exercise
bed	sleep
relaxing	idling
ink	dyeing
castanets	rhythm
castle	touring
oboe	practicing
makeup	beautify
garbage	landfill
climbing	exercise
machine	combine
saxhorn	play
cannonball	cannon
mouth	speaking
mineral	health
mast	transmitting
mast	sailing
pad	rockets
punching	punishment
restaurant	partying
temple	worship
knife	stabbing
horn	warnings
knife	breaking
killing	criminals
idolatry	ignorance
cogitating	thinkers
towel	modesty
hotel	lodging
steakhouse	eating
sofabed	convenience
bath	relaxation
cavity	fill
aircraft	land
hammer	building
diamond	cutting
bat	fun
mill	flour
perfume	aroma
box	accommodate
razor	cut
file	smoothness
ring	wearing
church	quiet
student	homework
wrestling	play
communicating	talking
lens	cameras
logic	reasoning
sun	heat
machine	fold
bats	flying
literature	illustrate
child	learning
marker	drawing
saucepan	saute
bicycle	ride
surprising	scaring
hotel	conferences
piano	music
vessel	containing
net	badminton
alley	deliveries
match	fire
tooth	piercing
card	identification
museum	learning
learning	dogs
spirit	haunting
sex	recreation
writing	humor
horn	jazz
yard	playing
channel	watching
ribbon	beauty
article	reading
explosive	bombs
scale	weighing
ball	bowling
house	family
boat	fishing
sleeping	rest
falling	fools
tool	correcting
sushi	eating
weapon	competition
paper	books
rifle	war
curtain	privacy
award	acheivement
beggers	recieving
