triturus	newt
reversibility	changeableness
pharmaceuticals	pharmaceuticals
looseness	unrestraint
artamidae	bird
sparkle	expression
photoluminescence	luminescence
bomb	explosive
hood	roof
liana	vine
methacrolein	alkene
k	ketamine
picamar	phenol
gymnosophist	philosopher
scope	mouthwash
overlap	concurrence
dickey	backseat
gaydar	website
thanks	acknowledgment
filefish	plectognath
demeanor	trait
metastability	constancy
ultimatum	demanding
dacquoise	food
lithospermum	plant
smaltite	skutterudite
clinopodium	plant
pakistani	person
synchroidae	beetle
phlomis	plant
polyptoton	ploce
gauge	standard
tabebuia	plant
localhost	host
bactritida	mollusca
elevation	rise
logic	principle
tigrinya	african
roorback	album
tail	process
beware	album
antiperspirant	toiletry
pickpocket	thief
cordierite	mineral
disfigurement	appearance
hyperuricemia	disease
ewe	kwa
frustration	dissatisfaction
diptych	polyptych
apheresis	dialysis
goatskin	hide
grandmother	person
ignition	mechanism
insectivore	placental
pullet	hen
atlas	spacecraft
entente	agreement
hire	employee
hobbyist	person
preserver	cook
etilefrine	phenol
pretense	imagination
withdrawer	contestant
ternopil	city
terror	person
indigo	shrub
bait	device
chorizo	sausage
haste	motion
camazepam	benzodiazepine
seoul	city
rosybill	netta
monk	religious
lesbian	lgbt
host	organism
tricolor	flag
nitrobacterium	bacteria
closure	album
propagandist	communicator
risc	microprocessor
roti	flatbread
aal	river
characidae	fish
variolation	inoculating
cleavage	state
wisp	tuft
anomaly	person
foodstuff	food
parthenocarpy	apomixis
winnipeg	capital
exasperation	annoyance
hypothesis	proposal
washboard	device
nasua	mammal
bathsheba	royalty
asanga	person
cushion	padding
decubitus	position
flabbiness	softness
timon	reptile
azawad	country
stile	upright
poorhouse	house
railing	material
autobahn	expressway
tangibility	materiality
uncoiling	lengthening
petrol	liquid
pickup	acceleration
protein	nutrient
bid	statement
samaritan	israelite
trap	mouth
wagtail	bird
benediction	prayer
ferdinand	planet
cane	stalk
opopanax	gum
complement	counterpart
mimosoideae	plant
rota	island
peal	sound
cyanobacteria	bacteria
triangle	polygon
automatism	defence
cummin	spice
spiraea	plant
thamnophilus	bird
lexis	cognition
fan	river
kid	goat
schnitzel	dish
flintlock	gunlock
jiaozi	food
speaking	utterance
murder	homicide
bushes	plants
gear	mechanism
play	touch
steak	artifact
auspice	omen
elections	events
twa	human
worst	evil
labyrinth	maze
guadalcanal	island
birch	wood
millstone	load
doubs	river
megadermatidae	mammal
tonatia	bat
salamander	amphibian
authentication	validation
haplomitriopsida	liverwort
himself	hirself
madrilene	consomme
vaquita	porpoise
prolactin	gonadotropin
spondylolisthesis	disease
disinterestedness	impartiality
brachydactyly	disease
copper	penny
austronesian	inhabitant
split	bottle
steep	descent
pauropoda	class
lexus	ford
sixpence	coin
klipspringer	mammal
metatheria	class
indiscretion	misbehavior
workhorse	machine
tunic	cloak
nailer	worker
mushrooms	fungi
aniridia	disease
subsoil	soil
wife	woman
class	people
gooseberry	plant
prohibition	law
console	computer
jurist	expert
rote	memorization
ardor	passion
aron	river
guitarfish	ray
thromboxane	vasoconstrictor
vector	agent
slate	website
deification	condition
terrorist	person
osmobiosis	cryptobiosis
cassiopea	jellyfish
distrust	trait
people	scientists
sewer	drain
cellphone	phone
confrontation	comparison
nose	chemoreceptor
azapetine	drug
camelopardalis	constellation
firm	organization
killifish	cyprinodont
sniffer	person
maquisard	guerrilla
covering	artifact
cessation	stop
bareness	nakedness
hydronephrosis	pathology
karen	person
fiances	film
manumit	free
catholicism	christianity
deregulation	liberation
honolulu	capital
palaeotrochoidea	gastropod
nail	shaft
saddler	maker
crowfoot	person
somersiella	shrimp
amity	peace
gate	entrance
roseola	disease
bongo	instrument
inuvialuktun	language
liveryman	employee
minicar	car
inadvertence	carelessness
clout	target
oak	species
sundae	food
divan	chamber
mousse	dessert
goethite	mineral
ruin	devastation
trip	journey
axis	animal
intermediate	chemical
togetherness	closeness
tomboy	girl
d12	band
honker	driver
scholasticism	traditionalism
brachycera	insect
colonization	taking
disrespect	attitude
pancake	food
cows	domesticated
eppstein	town
lymphocyte	agranulocyte
angel	patron
clematis	climber
shirtdress	dress
hand	pointer
wang	scientist
retentiveness	acquisitiveness
chamorro	human
devaluation	regulation
bishop	chessman
atomization	annihilation
elemi	hyawa
exogamy	marriage
showroom	room
light	condition
valerian	royalty
phoradendron	plant
jute	european
anatidae	anseriformes
televangelism	evangelism
congregation	assembly
portmanteau	bag
water	liquid
roll	bread
assembly	gathering
begum	moslem
showgirls	film
command	authority
earth	homeworld
biretta	cap
anomoeotidae	moth
capitate	carpalia
bastardization	degradation
canopus	star
culturati	intelligentsia
salmonellosis	disease
evaporating	vaporization
minoxidil	drug
flintstone	flint
arabesque	band
othonna	shrub
cabergoline	ergoline
care	repair
resource	album
girlhood	childhood
sylph	magazine
hendecagon	polygon
matoatoa	gekkonidae
separate	garment
steinbock	mammal
homophobe	bigot
gastrectomy	operation
aspiration	articulation
foaling	birth
jackpot	award
vigilante	worker
cyclooxygenase	enzyme
phenadoxone	morpholine
freshness	originality
ceftriaxone	drug
coventry	city
polo	game
milkweed	herb
nimesulide	drug
parapet	wall
jersey	carriage
verve	band
walkabout	walk
levity	frivolity
flank	formation
anglewing	nymphalid
saffron	crocus
inspiration	intuition
conspiracy	plot
proboscis	insect
arundo	plant
inability	quality
express	mail
lemons	yelloow
benzbromarone	drug
postmark	marker
chartism	ethic
gessella	liverwort
meltwater	water
mixer	beverage
jadarite	mineral
gaudy	banquet
oceanfront	coast
giga	company
ghetto	life
activity	action
antistrophe	stanza
contrarian	investor
goal	score
hidatsa	siouan
smell	sensation
spearfishing	fishing
economy	action
sahara	place
pleaser	entertainer
hacker	person
lithotecnon	lithopedion
q4	quarter
algin	gum
parazoa	subkingdom
axinite	mineral
cartier	company
donets	river
diplomats	band
slovak	european
cucurbitaceae	plant
soldiering	skill
cowbell	bell
bend	section
exanthem	eruption
pseudomonas	bacteria
clammyweed	herb
breeziness	storminess
laotian	asiatic
diplomonad	flagellate
splenitis	inflammation
cannibal	animal
needleworker	maker
golfer	worker
vane	fin
albigensianism	heresy
caubeen	beret
secretaryship	position
retail	selling
matucana	plant
1095	steel
tripper	catch
naengmyeon	food
chess	brome
ideal	model
verbiage	verboseness
deodar	cedar
employee	affiliate
happiness	feeling
penlight	flashlight
badge	emblem
gunfire	shooting
intersection	set
recruiting	recruitmentment
truth	concept
torturing	harmed
light	insight
counterproposal	proposal
quaker	christian
rollo	royalty
artery	thoroughfare
silverware	feastware
telaprevir	drug
thymol	monoterpene
urology	medicine
halmahera	island
xiamen	hokkien
surfboat	boat
coho	salmon
opsonin	antibody
fluke	barb
dennet	carriage
gunnery	weaponry
sparkle	vitality
ancestry	inheritance
microsoft	corporation
egger	company
duster	coverall
polymyxin	antibiotic
trample	sound
ute	shoshonean
match	counterpart
goloid	silver
saint	deity
urokinase	medicine
porcellio	crustacean
tatting	needlework
business	acting
laropiprant	drug
loge	balcony
rhythm	template
terrain	tract
biosignature	signature
boot	startup
haemulidae	fish
xantocillin	phenol
assessee	person
brazil	country
fiat	car
aquaplane	board
propionibacterium	propionibacteriaceae
bellwether	wether
revue	film
employable	worker
mainz	town
rose	shrub
kiwi	bird
hydroculture	hydroponics
departure	band
phrase	dancing
eurydactylodes	gekkonidae
packing	carry
commemoration	ceremony
pastureland	land
snowboarding	locomotion
tantra	buddhism
pectinariidae	animal
clary	sage
negotiating	dialogue
methylenedioxypyrovalerone	drug
ochdamh	carucate
longer	person
chervil	plant
norm	specification
pucker	fold
rent	tear
eradication	destruction
polyboroides	accipitridae
apartment	building
caspofungin	drug
epos	poetry
quintuplet	sibling
diplomystes	catfish
link	fastener
aurophilic	metallophilic
bostonian	american
heteroflexible	heterosexual
boylover	childlover
jeep	car
leg	limb
neurology	medicine
phlebotominae	fly
declaration	testimony
titanoboa	reptile
pound	currency
gaseousness	consistency
uniate	catholic
basket	containerful
flagellin	protein
bitumastic	coating
nart	fort
manifesto	declaration
lymphuria	symptom
projectile	weapon
bioethics	ethics
eggcup	crockery
index	list
elfdalian	language
scoliosis	illness
superposition	placement
chasuble	vestment
cayuga	iroquoian
cheeseboard	tray
entreaty	request
coelenteron	sac
effacement	withdrawal
convoy	escort
plunder	film
ostinato	phrase
venezuela	country
pollux	star
shareholding	property
ticino	river
fire	attack
partisan	pike
peptide	polymer
myxococcales	proteobacterium
dogs	mammals
enrichment	improvement
cafeteria	restaurant
imam	clergyman
keratoacanthoma	disease
titanite	sphene
superior	leader
retreated	people
faun	therianthrope
macropsia	dysmetropsia
boycott	punishing
nagykanizsa	city
direction	message
dad	person
gangster	criminal
cellulitis	inflammation
pizzeria	restarant
blandishment	flattery
mispronunciation	pronunciation
ventilation	improvement
saraband	dancing
tarentola	gekkonidae
hooker	athlete
daggerboard	woodwork
preserve	sphere
anticommunist	person
myricaceae	plant
balsam	ointment
trypanosoma	eukaryote
balefire	fire
blow	exhalation
muzzling	equipping
davalliaceae	plant
alienation	dislike
fastball	pitch
scrophularia	plant
chip	magazine
baryte	mineral
hal	software
neutralizity	inaction
ritodrine	propanolamine
dasyhelea	fly
blessing	support
nootkatone	sesquiterpene
casuist	reasoner
balata	tree
purslane	herb
cottonwood	poplar
galanin	protein
eyetooth	tooth
trandolapril	drug
privileging	permitting
multitudinousness	numerousness
aardwolf	quadruped
polymorph	organism
nub	bulge
pretentiousness	unnaturalness
methanol	fuel
sign	clue
avengers	album
wallcreeper	bird
cyanobacterium	bacterium
tableware	ware
vedanta	hinduism
theophylline	xanthine
applejack	brandy
jackrabbit	rabbit
hajj	pilgrimage
cordaitales	conifer
physetocaris	shrimp
prefect	administrator
ennoblement	promoting
junagadh	city
menial	servant
pimenta	plant
pasiphae	planet
fulda	town
ddc	medicine
lactogen	agent
retake	take
silica	chemical
nitrogen	gas
falchion	sword
broadbill	bird
kink	fold
hydra	trouble
shred	software
alyssum	plant
lightness	value
tourist	traveller
workaholism	compulsiveness
bugle	bead
juju	charm
pyrotechnics	trade
addax	mammal
bavarian	german
delf	excavation
appendicitis	disease
inspiration	arousal
sanming	city
debridement	operation
hydrogel	gel
sandbur	grass
cinquefoil	shrub
trimethadione	drug
spalt	town
man	lover
vault	roof
electrons	lepton
clindamycin	drug
autonomy	independence
pannekoek	food
coven	assembly
mafaldine	food
pang	pain
campus	field
spank	smack
slip	mishap
winery	factory
protoctista	kingdom
zeppelin	airship
prayer	ritual
cacodyl	group
imprisonment	punishment
dragonja	river
calvary	affliction
daisies	flowers
tanger	river
aesculus	plant
borstal	reformatory
ariadne	insect
milkshake	food
cockhorse	plaything
borderland	district
ceratonia	plant
pony	racehorse
unwieldiness	troublesomeness
lymania	bromeliad
indigestion	symptom
outside	region
historicalness	significance
underselling	buying
hedgehog	insectivore
wheat	grain
pycnodysostosis	dwarfism
credit	accomplishment
wristband	band
ford	company
hemagglutination	agglutination
samo	royalty
introvert	person
aspic	gelatin
thermionics	electronics
wings	limbs
chrysalis	pupa
arytenoid	cartilage
burbot	fish
shift	hours
battery	team
wine	beverage
brilliantine	pomade
outrage	controversy
countryman	compatriot
skittishness	nervousness
collimation	adjustment
corona	cigar
builder	material
butastur	bird
potatoes	legumes
virus	parasite
caladenia	orchid
pierid	butterfly
aphesis	apheresis
pickle	vegetable
propranolol	drug
bloodstream	blood
banditry	plundering
psammoma	tumor
windshield	screen
curcumin	phenol
deictic	word
underbelly	abdomen
phyllurus	gekkonidae
kinesthesia	somesthesia
bearberry	cranberry
arthrography	roentgenography
few	elite
cackler	hen
expansion	discussion
melasma	disease
gummite	mineral
biomass	mass
colloquialism	formulation
leptoconopinae	insect
spectator	perceiver
eudiptera	fly
bonaventure	saint
rituals	book
kettles	pots
chimera	imagination
bizdevops	devops
milliard	billion
sativa	marijuana
transition	change
pyrite	mineral
elephant	pachyderm
vegetables	food
biotechnology	biotechnology
anhydrobiosis	cryptobiosis
hole	space
gagman	writer
irritation	abnormality
sillimanite	mineral
hairiness	appearance
enoplia	nematode
ponka	dhegiha
bumpiness	roughness
louisianian	american
lugo	city
gradualness	gradient
whistle	manga
ballpark	stadium
superscription	inscription
bioluminescence	chemiluminescence
hyoscyamine	poison
checkpoint	stop
hygrophyte	plant
hydra	planet
books	fiction
shyness	timidity
lane	street
angiospermae	class
anisometropia	disease
priapism	disease
left	turn
percolation	filtration
deadlight	shutter
alazani	river
tetracycline	drug
aglaonema	plant
tract	treatise
chloroxylenol	phenol
sarakole	human
argument	evidence
underperforming	performing
chum	bait
substratum	surface
antheraea	insect
eldorado	building
jag	intemperance
dragonflies	insects
biopedturbation	pedturbation
crabgrass	grass
forager	hunter
likeness	similarity
leitmotiv	tune
elaeagnus	plant
cussedness	contrariness
peen	part
wrinkle	depression
attentiveness	attention
harmony	music
romanticist	artist
cd18	integrin
hemiphyllodactylus	gekkonidae
nonactin	nactin
anchorage	arrival
docetism	heresy
sulfonate	salt
swivel	coupling
acariasis	infestation
strophanthus	plant
manjeshwar	town
blameworthiness	guilt
heroics	acting
homeboy	member
omul	fish
thirst	drive
epoxies	band
sour	cocktail
kernel	grain
ramp	stairway
stockwhip	whip
abasement	humiliation
trachodon	hadrosaur
anatase	mineral
banyan	jacket
budesonide	medicine
affecting	becoming
filipina	filipino
lumpectomy	ablation
glutamate	salt
impotence	disability
touch	contact
drimys	plant
nganasan	russian
mach	software
soviet	council
sport	vacationer
carpenter	woodworker
venue	jurisdiction
light	position
peanut	earthnut
famas	weapon
carbonation	permeation
flagging	collection
dingo	dog
chemise	dress
cubanite	mineral
ghanian	african
eloping	wedding
bahamas	state
jujube	drupe
ferrochelatase	protein
tetragonia	plant
hippodrome	stadium
chill	coldness
raninidae	crab
board	committee
coffeehouse	house
jordan	country
clarisworks	wordprocessor
hockey	game
mitten	accessory
makeup	event
communards	band
aparasphenodon	amphibian
procyon	procyon
skater	athlete
walkabout	amble
austrocactus	cactus
finasteride	drug
incurvation	bending
legislatorship	position
proposition	undertaking
exotoxin	toxin
pessimism	despair
diatom	alga
fishhook	hook
slowdown	delay
span	duration
crime	film
rhododendron	plant
copper	metal
varnish	finish
methacrolein	aldehyde
bracket	set
brand	city
lens	organ
palliative	remedy
stockfish	fish
austrian	person
oryza	plant
thrombomodulin	protein
elocutionist	orator
series	connection
aeroscientist	geoscientist
anxiety	emotion
rallidae	bird
transmutation	conversion
brach	bitch
morphologist	worker
danube	river
nutmeg	spice
ecitoninae	ant
himantoglossum	plant
oroide	alloy
atom	material
infection	illness
stoup	basin
communization	constitution
plexor	hammer
marengo	arachnid
sway	power
pixie	software
firefight	fight
automeris	insect
lighterman	mariner
livy	writer
swineherd	herder
v2v	v2x
autumn	season
present	time
joel	saint
pteridophyta	division
struggle	attempt
force	influence
hartford	company
discovery	act
briar	pipe
villainy	transgression
wicket	opening
holloways	band
archaeopsittacus	parrot
ethic	system
lonas	plant
squark	sfermion
galactose	sucrose
pedophilia	disease
hiccup	myoclonus
volumeter	meter
brag	boast
traversal	travel
calsequestrin	protein
valve	control
neoliberal	liberal
irradiation	spread
andrea	bromeliad
workhouse	poorhouse
basiliscus	reptile
battue	hunt
jesus	jew
poteen	irish
hipbone	bone
heart	organ
winking	flirtacious
gnathostomata	vertebrate
humans	stupids
dutch	person
chas	city
anthozoa	animal
rear	formation
turmeric	plant
uracil	nucleotide
constipation	symptom
werelion	werecat
gnh	ideal
break	delay
achaian	hellene
stratiomyidae	fly
aerobiosis	life
disintegrin	protein
sideshow	incident
coot	rail
pizzly	hybrid
cataract	disease
wolrd	mess
couplet	stanza
daruan	ruan
beer	carbonated
orgy	rite
stir	agitation
misinformation	information
retroflection	motion
misconstruction	constituent
gloominess	sorrow
werneria	toad
arts	at
slayed	album
camp	housing
slug	alcohol
tape	recording
immunosuppression	illness
angrecum	orchid
ericaceae	plant
opossum	quadruped
shapeshifters	band
hermaphrodite	animal
raven	bird
hearing	session
kwazulu	country
cockle	mollusca
dhtml	html
camelia	evergreen
lasioglossum	bee
german	westerner
classifier	thinker
marquess	peer
proportion	magnitude
marrubium	lamiaceae
feather	rotation
oxymitra	liverwort
office	state
black	clothing
villa	building
ostrogoth	goth
happening	event
centralism	policy
kalevala	book
spruceanthus	liverwort
bestowal	gift
astronautical	aerospace
connexin	protein
millerite	mineral
scalpel	knife
cyan	colour
intel	company
dinoseb	phenol
monarchist	archist
rotaria	rotifer
switchman	operator
pamphobeteus	arachnid
aion	manga
dishabille	condition
drainboard	board
encyrtidae	wasp
polysyndeton	acervatio
shaft	rod
crow	siouan
rizatriptan	drug
hyperplasia	disease
peanut	plant
deep	middle
funk	jazz
quern	mill
water	element
rapier	weapon
puddingwife	wrasse
huso	fish
typing	writing
ascaris	nematode
rib	support
woodwaxen	broom
asiatic	inhabitant
tigre	human
cassorwary	animal
nudge	hit
house	audience
assyrian	semite
cynodon	plant
equestrian	sport
instillation	liquid
tragopan	bird
percept	representation
kakemono	hanging
terminal	contact
parakeet	bird
shaktism	sect
ammoniuria	symptom
microdon	fly
timothy	hay
vibe	motion
georgian	russian
mousse	dish
capricorn	person
politician	thief
head	striker
hokan	amerind
brantford	city
hydrazoite	azide
guru1	human
leptospira	bacteria
centromere	dna
tie	beam
sight	modality
noticer	perceiver
serendipity	software
unfavorableness	disadvantage
gnostic	advocate
welder	craftsman
world	experience
expectorant	medicine
stuff	kernel
botargo	food
sowetan	newspaper
charade	word
pardon	warrant
mire	bog
monosaccharide	carbohydrate
parnassia	plant
fettelite	mineral
fairground	tract
magnetite	mineral
polytrichaceae	moss
sharemilking	sharefarming
aquamarine	beryl
graphite	mineral
violator	libertine
detective	policeman
fabrication	writing
sediment	soil
raspberry	drupelet
converso	convert
brougham	sedan
display	show
heliosphere	astrosphere
lycopsida	class
zarf	holder
xenophyophore	eukaryote
armful	containerful
playoff	contest
bumper	glass
rhombohedron	hexahedron
kaddish	prayer
grudge	film
triflupromazine	drug
milliner	merchant
snickers	candy
helen	person
imprudence	incaution
igniter	fuel
beefwood	casuarina
dracocephalum	lamiaceae
lamella	membrane
abolitionism	doctrine
mouthbreeder	fish
pauperization	privation
undream	unthink
prostanthera	lamiaceae
maverick	nonconformist
proximity	nearness
selvage	edge
dingo	mammal
rimonabant	drug
amiidae	fish
scleredema	edema
mohican	algonquian
broadcasting	album
coliphage	bacteriophage
raving	declamation
loin	cut
breach	event
boogeyman	wrestler
externalization	objectification
hadjerai	african
visionary	intellect
whispering	speaking
grenadier	gadoid
diamond	carbon
confidentiality	discretion
sideroblast	erythroblast
validity	legality
hotel	building
immunization	protection
haplopelma	ornithoctoninae
perfumery	art
subject	person
uncle	kinsman
dimpling	smiling
landing	arrival
weakling	person
irish	european
radiculopathy	disease
phrenologist	mountebank
hobbit	book
miraculin	protein
psalmody	singing
apostleship	position
armature	coil
scydmaenidae	insect
213	band
fisherman	person
mobcap	cap
hatchling	young
shelf	support
abnegator	donor
bistro	restaurant
sparidae	fish
designer	planner
centrales	diatom
enema	irrigation
supermodel	mannequin
watchdog	defender
bottle	containerful
stishovite	mineral
tubulin	protein
hyposmia	dysomia
magazine	storehouse
mauritius	country
modulus	coefficient
ozius	crab
jako	company
cassis	mollusca
study	memorizer
dipodillus	mammal
maritimes	place
carrot	herb
malfunction	failure
parsi	religionist
monkshood	aconite
trypanosomatid	eukaryote
stumblebum	boxer
siphon	tube
gumbo	stew
beaujolais	burgundy
glissando	tune
bilbo	hobbit
lithuresis	micturition
rummer	glass
empididae	fly
voyeurism	paraphilia
flacherie	disease
fennel	vegetable
zombie	highball
spin	turn
textbased	based
arson	igniting
graduation	event
allergist	doctor
eumops	mammal
flea	ectoparasite
unas	person
frappe	milkshake
coupe	car
onychophoran	arthropod
limit	boundary
keeshond	dog
lambrequin	scarf
stomach	appetite
trip	step
side	line
key	thing
prims	river
blackmail	extorting
ectoprocta	phylum
gaussian	software
helvetica	typeface
haagespostoa	cactus
hearing	modality
fog	aerosol
flans	band
wikinews	website
trooper	policeman
marocain	crepe
embrace	inclusion
boyfriend	man
building	gathering
cabindan	african
cincinnati	city
namibia	state
nyala	mammal
ebay	company
litigiousness	contentiousness
gagauz	european
disorderliness	condition
explosive	weapon
plesiosaur	archosaur
ibook	computer
buick	company
him	hu
ottoman	seat
bind	software
deduction	allowance
perseus	constellation
perturbation	influence
drapery	fabric
sulfaguanidine	drug
arapaima	bonytongue
frappe	drink
prisoner	person
sannyasi	hindoo
macedonian	slavic
steeplechase	footrace
heliac	stellarator
underdog	failure
arbitrator	adjudicator
syrup	sweetening
ozone	compound
dennstaedtiaceae	fern
pioneer	originator
scintillation	brilliance
lightning	flash
house	play
timbuktu	city
mistress	lover
switchplate	wallplate
spice	software
follow	album
balloonist	person
base	electrode
notebook	artifact
pelophryne	toad
cascades	company
orthophytum	plant
proprioception	interoception
befoulment	dirtiness
cosmopolitan	sophisticate
stardrive	spacedrive
fraternization	association
whaling	hunting
house	shelter
hydrocephalus	abnormality
krigia	herb
pilaf	dish
billy	goat
kavakava	herb
gazetteer	dictionary
tintinnid	ciliate
kernel	content
lodestar	model
logjam	mass
cubbing	birth
bend	ordinary
hostility	combat
cresol	phenol
cabriite	mineral
larper	rpger
newfoundland	island
eye	organ
horseshoe	guard
hypothetical	hypothesis
scirtoidea	beetle
linendraper	draper
velcro	fastener
breadwinner	book
guanidine	amine
pyxis	box
calliophis	reptile
suctorian	microbe
conferee	communicator
thanksgiving	holiday
lur	asian
bergenia	herb
